,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,class
967,967,31,4,4,3,1,0,1,4,0,1
175,175,32,2,4,0,1,0,3,4,0,0
540,540,27,3,3,1,1,0,3,4,0,1
49,49,26,4,4,0,1,0,1,4,0,0
1408,1408,36,4,4,3,1,1,2,4,0,1
89,89,24,2,2,3,1,0,2,1,0,0
412,412,47,1,1,1,1,1,3,4,0,0
611,611,35,4,4,3,0,0,3,4,0,1
286,286,22,4,4,0,1,0,1,4,0,0
136,136,24,4,4,2,1,1,3,3,0,0
598,598,33,4,4,5,1,1,2,4,0,1
106,106,22,4,4,0,1,1,1,1,0,0
1244,1244,34,3,4,3,0,1,1,4,0,1
1045,1045,44,1,4,9,1,1,1,2,0,0
860,860,29,3,4,3,1,1,3,2,0,1
201,201,22,2,4,0,1,1,3,3,0,0
859,859,24,3,4,2,1,1,3,3,0,1
1085,1085,30,4,2,0,1,0,3,3,0,0
155,155,47,1,1,7,1,1,2,3,1,0
1313,1313,41,4,4,6,1,1,1,4,0,1
686,686,33,3,3,3,1,1,3,3,0,1
279,279,48,4,4,3,1,1,2,4,0,0
577,577,43,4,4,3,0,1,1,4,0,1
1320,1320,32,3,2,5,1,1,3,3,0,1
272,272,25,3,4,1,1,1,2,1,0,0
1309,1309,37,4,4,4,0,1,2,4,0,1
376,376,40,3,3,3,1,1,2,2,1,0
331,331,35,1,2,0,1,0,4,4,0,0
1136,1136,26,3,4,1,0,1,2,2,0,0
1123,1123,47,2,4,2,1,1,3,2,1,0
81,81,49,4,4,6,0,0,1,4,0,0
966,966,30,3,3,4,1,0,2,2,0,1
1058,1058,30,1,1,7,1,1,2,3,0,0
54,54,36,2,4,5,1,1,2,3,0,0
625,625,41,4,4,7,1,1,2,4,0,1
449,449,20,3,4,1,1,1,2,4,0,1
726,726,24,4,4,1,1,1,1,3,0,1
458,458,46,4,4,4,1,1,1,4,0,1
1030,1030,35,3,4,6,1,0,2,2,0,0
748,748,35,3,4,4,1,1,1,4,0,1
1131,1131,45,1,3,7,1,0,1,3,0,0
35,35,42,1,3,9,1,1,3,2,1,0
1372,1372,25,4,4,2,1,1,3,3,0,1
1411,1411,25,4,4,2,1,1,2,3,0,1
1019,1019,38,2,4,3,1,1,1,3,0,0
1211,1211,49,1,2,5,1,0,2,2,1,0
991,991,28,3,4,3,1,1,1,4,0,1
812,812,25,3,3,3,1,1,3,2,0,1
1202,1202,47,1,1,4,1,1,2,2,0,0
169,169,20,3,4,0,1,0,2,4,0,0
1328,1328,17,3,4,1,1,1,3,3,0,1
740,740,29,1,3,5,1,1,3,3,0,1
1338,1338,31,4,4,5,1,0,1,4,0,1
70,70,47,2,3,4,1,1,2,3,0,0
1119,1119,38,1,3,4,1,0,2,2,0,0
1305,1305,36,3,3,4,1,1,1,3,0,1
430,430,23,4,4,1,1,1,1,2,0,1
1094,1094,38,1,2,6,1,1,2,1,1,0
1087,1087,45,2,4,8,1,1,2,3,0,0
565,565,22,4,4,1,1,1,1,3,0,1
34,34,24,2,3,1,1,1,3,3,0,0
86,86,25,4,4,1,1,1,1,3,0,0
642,642,29,3,3,4,1,1,3,4,0,1
648,648,17,2,2,1,1,1,3,2,0,1
293,293,40,4,4,3,1,1,3,4,0,0
259,259,39,3,3,1,0,1,3,4,0,0
500,500,36,2,1,6,1,1,2,1,0,1
699,699,39,4,3,1,1,0,2,2,0,1
1348,1348,21,4,4,2,1,1,2,3,0,1
1139,1139,47,2,3,12,1,1,3,1,0,0
744,744,37,4,4,4,1,1,3,2,0,1
760,760,26,4,4,1,1,1,3,3,0,1
889,889,33,4,4,4,1,1,2,3,0,1
671,671,26,2,4,3,1,1,3,4,0,1
46,46,32,4,4,2,1,1,2,3,0,0
583,583,24,4,4,1,1,1,1,4,0,1
805,805,33,2,4,3,1,1,3,4,0,1
1102,1102,20,3,4,2,1,1,3,2,0,0
24,24,48,4,4,5,1,1,1,4,0,0
570,570,36,4,4,3,0,1,2,4,0,1
144,144,30,2,4,2,1,1,3,4,0,0
392,392,47,1,4,6,1,1,1,4,0,0
1222,1222,36,4,4,3,1,0,1,4,0,1
811,811,35,1,2,6,1,1,2,2,1,1
1304,1304,34,4,4,4,1,0,3,3,0,1
182,182,42,1,3,12,1,1,3,3,0,0
870,870,22,4,4,3,1,1,3,2,0,1
828,828,35,4,4,3,1,1,1,4,0,1
990,990,23,2,3,3,1,1,2,3,0,1
466,466,27,3,3,1,0,0,2,4,0,1
65,65,24,2,4,1,1,1,3,1,0,0
1147,1147,45,4,4,1,1,1,1,4,0,0
195,195,45,1,2,6,1,1,3,3,1,0
736,736,19,3,3,3,1,1,2,3,0,1
453,453,31,4,4,1,1,1,1,4,0,1
460,460,39,4,4,4,1,0,1,4,0,1
1015,1015,22,4,4,0,1,1,3,2,0,0
659,659,27,3,3,1,1,0,3,3,0,1
780,780,25,4,4,2,1,1,1,3,0,1
994,994,25,4,4,1,1,1,1,4,0,1
1160,1160,20,3,4,0,1,1,3,3,0,0
900,900,21,3,3,1,1,1,2,2,0,1
385,385,39,4,4,2,1,0,1,4,0,0
517,517,33,4,4,3,1,1,3,4,0,1
1169,1169,31,1,1,6,1,1,3,2,0,0
1150,1150,31,3,3,2,1,0,3,3,0,0
821,821,26,3,4,2,1,1,3,3,0,1
4,4,36,3,3,8,1,1,3,2,0,0
1238,1238,26,3,4,2,1,1,3,3,0,1
115,115,37,4,4,1,1,1,1,4,0,0
1022,1022,28,3,4,0,1,0,1,3,0,0
1009,1009,42,2,3,2,1,1,1,4,0,0
102,102,27,2,4,3,1,0,3,2,0,0
594,594,44,4,4,4,1,1,1,4,0,1
1011,1011,21,2,2,1,1,1,3,2,0,0
1234,1234,34,4,4,4,1,1,2,4,0,1
1101,1101,26,4,4,3,1,1,1,4,0,0
185,185,33,2,3,1,1,1,3,4,0,0
1295,1295,31,2,2,4,1,1,4,3,1,1
153,153,23,4,4,2,1,1,2,4,0,0
661,661,43,4,4,3,1,1,1,4,0,1
234,234,39,1,1,5,1,0,3,1,1,0
801,801,21,2,2,1,1,1,4,3,0,1
1439,1439,32,3,4,5,0,1,1,4,0,1
782,782,40,4,4,4,1,1,1,4,0,1
1178,1178,22,3,3,2,1,1,2,4,0,0
314,314,36,2,2,0,0,0,3,3,0,0
765,765,30,3,4,4,1,1,3,3,0,1
933,933,28,4,4,2,0,1,2,4,0,1
1456,1456,40,2,2,4,0,0,2,4,0,1
1198,1198,47,2,3,5,1,1,1,1,0,0
209,209,34,2,3,3,1,0,3,2,0,0
346,346,33,4,4,1,0,0,3,4,0,0
564,564,47,1,1,10,1,1,3,3,0,1
337,337,30,4,4,3,1,0,2,4,0,0
792,792,30,3,3,3,1,0,3,2,0,1
197,197,36,3,4,6,1,1,2,4,0,0
1394,1394,18,3,3,1,1,1,2,2,0,1
1390,1390,35,1,2,5,1,1,3,3,0,1
1125,1125,42,3,3,5,1,1,2,2,0,0
1399,1399,21,3,3,1,1,1,3,1,0,1
1255,1255,21,3,4,3,1,1,1,4,0,1
401,401,30,3,4,5,1,1,1,4,0,0
371,371,37,2,3,4,1,1,2,3,0,0
1275,1275,30,2,3,5,1,1,3,1,1,1
210,210,40,3,3,1,0,1,3,4,0,0
763,763,22,3,4,3,1,1,2,3,0,1
984,984,32,4,4,3,1,0,1,4,0,1
909,909,31,3,3,3,1,1,3,1,1,1
1187,1187,21,2,3,0,1,1,3,4,0,0
163,163,40,3,3,1,1,0,3,3,0,0
284,284,29,2,4,2,1,0,4,4,1,0
549,549,41,3,4,5,1,1,1,3,0,1
1337,1337,21,3,4,1,1,0,3,4,0,1
1096,1096,24,3,4,2,1,1,2,4,0,0
298,298,28,4,4,3,0,1,1,4,0,0
589,589,44,4,4,5,1,1,1,4,0,1
95,95,41,1,3,10,1,1,2,3,1,0
208,208,32,4,4,1,1,1,1,4,0,0
395,395,37,4,4,2,0,1,1,4,0,0
365,365,20,2,3,3,1,1,3,4,0,0
1143,1143,32,4,4,3,1,1,1,4,0,0
1218,1218,49,3,4,4,1,1,3,4,0,1
1226,1226,35,4,4,5,1,0,1,4,0,1
240,240,19,3,4,1,1,1,2,3,0,0
58,58,21,2,3,0,1,1,3,4,0,0
107,107,44,3,4,4,1,0,1,3,0,0
1113,1113,25,2,3,2,1,1,3,2,0,0
882,882,22,3,4,1,1,1,3,3,0,1
148,148,32,4,4,1,1,0,1,3,0,0
1035,1035,48,4,4,4,0,1,1,4,0,0
1043,1043,45,1,1,0,0,0,2,1,0,0
159,159,22,2,2,2,1,1,3,1,0,0
1239,1239,41,4,4,8,1,1,1,4,0,1
485,485,47,3,4,11,1,0,2,3,0,1
727,727,21,2,3,1,1,0,3,2,0,1
1450,1450,27,4,4,4,1,1,3,3,0,1
1428,1428,41,4,3,5,1,0,3,4,0,1
71,71,48,2,3,8,1,1,1,4,0,0
833,833,21,3,3,1,1,1,3,3,0,1
191,191,31,3,4,3,1,0,3,2,0,0
1016,1016,20,3,4,0,1,1,3,3,0,0
114,114,21,3,4,0,1,1,1,3,0,0
1214,1214,42,4,4,4,1,1,3,4,0,1
451,451,26,2,4,2,1,1,1,3,0,1
1228,1228,45,4,4,3,1,1,1,4,0,1
285,285,44,4,4,5,0,1,2,4,0,0
898,898,38,4,4,2,1,0,1,4,0,1
960,960,40,2,4,3,0,1,3,4,0,1
1089,1089,28,1,4,0,1,0,4,1,0,0
482,482,24,4,4,1,1,1,3,2,0,1
394,394,29,4,4,0,1,0,2,4,0,0
945,945,23,2,3,2,1,0,3,2,0,1
1333,1333,26,2,4,3,1,1,1,3,0,1
32,32,26,2,4,0,1,0,1,2,0,0
687,687,36,4,4,6,0,1,1,2,1,1
1237,1237,29,4,4,3,1,1,1,4,0,1
276,276,47,2,1,5,0,1,2,4,0,0
384,384,38,2,4,5,1,1,3,3,0,0
14,14,38,3,4,2,1,1,2,3,0,0
231,231,26,2,4,1,1,1,1,3,0,0
52,52,40,3,4,8,1,1,3,3,0,0
528,528,29,4,4,2,1,0,1,3,0,1
267,267,42,3,4,10,1,0,3,2,0,0
149,149,43,4,4,5,1,1,1,4,0,0
514,514,32,4,4,2,1,0,1,4,0,1
20,20,26,3,4,1,1,0,4,1,0,0
329,329,39,3,4,1,0,1,3,4,0,0
57,57,37,3,4,7,1,1,2,1,0,0
1284,1284,24,4,4,2,1,1,2,4,0,1
393,393,25,3,3,0,1,1,3,4,0,0
1121,1121,45,2,3,6,1,1,3,2,1,0
334,334,27,4,4,1,0,1,3,4,0,0
366,366,42,3,3,3,1,0,2,4,0,0
1156,1156,31,3,4,3,0,0,2,4,0,0
1243,1243,22,4,4,1,1,0,2,2,0,1
1231,1231,27,4,4,3,1,1,1,3,0,1
873,873,26,2,3,2,1,1,3,3,0,1
787,787,22,2,2,2,1,1,2,3,0,1
344,344,21,4,4,1,1,1,3,3,0,0
1236,1236,44,1,4,2,1,1,1,3,0,1
513,513,36,4,4,3,1,0,2,4,0,1
837,837,26,2,3,2,1,1,2,3,0,1
1380,1380,31,1,2,4,1,1,3,3,0,1
545,545,44,4,4,7,1,1,2,4,0,1
844,844,24,3,4,1,1,1,3,4,0,1
793,793,44,3,4,5,1,0,1,4,0,1
958,958,41,3,3,7,0,1,2,4,0,1
63,63,22,2,3,1,1,1,2,1,0,0
64,64,27,2,4,1,1,0,1,3,0,0
244,244,32,3,4,4,1,1,1,4,0,0
117,117,44,3,4,1,1,1,1,3,0,0
383,383,25,2,3,1,1,0,2,1,0,0
794,794,24,3,3,3,1,0,2,1,0,1
743,743,27,2,4,1,1,1,3,3,0,1
1437,1437,27,4,4,1,1,1,1,4,0,1
391,391,33,4,4,5,1,1,3,4,0,0
1103,1103,31,3,3,1,1,0,3,4,0,0
1068,1068,30,4,4,4,1,1,2,4,0,0
290,290,24,4,4,1,1,1,2,2,0,0
312,312,25,1,4,2,1,0,3,3,1,0
1057,1057,27,3,4,2,1,1,1,3,0,0
492,492,37,4,4,3,1,1,1,4,0,1
580,580,43,4,4,6,1,1,1,4,0,1
1412,1412,30,3,4,3,1,1,3,4,0,1
1436,1436,30,2,3,5,1,0,3,4,0,1
881,881,21,1,3,1,1,1,3,3,1,1
47,47,45,4,4,0,1,1,2,4,0,0
273,273,49,2,4,6,0,1,2,3,0,0
1067,1067,47,1,4,7,1,1,2,3,0,0
1012,1012,29,3,4,4,1,1,1,4,0,0
1321,1321,34,3,3,6,1,1,1,4,0,1
397,397,48,1,1,8,1,0,2,2,1,0
1409,1409,28,4,4,4,1,1,3,4,0,1
1373,1373,33,4,4,2,1,0,1,4,0,1
1386,1386,33,4,4,5,1,1,3,3,0,1
447,447,35,4,4,5,0,0,1,4,0,1
742,742,34,2,4,7,1,1,2,3,0,1
759,759,28,4,4,1,1,1,1,3,0,1
381,381,38,2,4,5,0,1,2,2,0,0
295,295,49,3,4,6,1,1,1,4,0,0
1467,1467,29,4,4,3,1,1,1,4,0,1
887,887,30,4,4,3,0,0,2,4,0,1
1260,1260,33,4,4,2,0,0,1,3,0,1
1324,1324,38,4,3,9,1,1,3,3,0,1
1208,1208,40,1,1,0,1,1,3,2,0,0
121,121,36,2,3,5,1,1,2,3,0,0
304,304,23,4,4,1,1,0,2,4,0,0
490,490,23,4,3,3,1,1,3,3,0,1
220,220,22,2,3,1,1,1,3,3,0,0
1326,1326,35,2,2,6,1,0,2,2,1,1
199,199,32,2,4,2,1,1,3,3,0,0
1302,1302,38,4,4,4,1,1,2,4,0,1
404,404,29,3,4,4,1,0,1,3,0,0
203,203,27,2,3,2,1,1,3,3,0,0
1037,1037,37,4,4,2,1,1,1,4,0,0
68,68,23,3,4,2,1,1,3,4,0,0
246,246,34,4,4,2,1,0,1,3,0,0
1294,1294,23,4,4,1,1,0,3,4,0,1
212,212,26,3,4,3,1,1,3,2,0,0
1014,1014,25,4,4,2,1,1,3,2,0,0
434,434,20,3,4,1,1,1,3,2,0,1
1220,1220,28,3,4,3,1,1,1,4,0,1
1325,1325,39,4,4,3,1,0,1,4,0,1
1429,1429,30,4,3,4,1,1,3,3,0,1
1128,1128,42,4,4,3,1,0,1,4,0,0
1407,1407,36,2,3,6,1,1,2,4,0,1
33,33,33,2,2,2,1,1,3,1,0,0
1010,1010,26,2,4,3,1,1,3,4,0,0
200,200,42,1,4,11,0,1,2,2,1,0
595,595,42,4,4,5,1,1,1,4,0,1
609,609,45,3,3,6,0,1,2,4,0,1
198,198,30,1,1,5,1,1,2,2,0,0
757,757,34,4,4,2,1,1,3,3,0,1
1053,1053,35,2,3,8,1,1,3,3,1,0
869,869,28,3,4,5,1,1,2,4,0,1
477,477,21,4,4,1,1,1,1,4,0,1
672,672,24,3,3,2,1,1,3,3,0,1
1285,1285,42,4,4,3,1,0,1,4,0,1
791,791,31,3,4,5,1,1,3,1,0,1
262,262,29,3,3,3,1,0,2,4,0,0
776,776,39,4,3,4,1,1,3,4,0,1
1062,1062,27,3,3,4,1,1,2,4,0,0
5,5,19,4,4,0,1,1,3,3,0,0
778,778,33,4,4,2,0,0,1,3,0,1
275,275,35,3,4,1,0,1,2,3,0,0
608,608,41,4,4,5,0,1,2,4,0,1
1210,1210,33,3,3,3,1,1,3,4,0,0
1457,1457,27,3,3,5,1,1,2,4,0,1
294,294,29,4,4,1,1,1,1,3,0,0
732,732,31,3,3,6,0,1,3,1,0,1
721,721,46,4,4,4,1,1,1,4,0,1
1424,1424,22,2,4,2,1,1,3,2,0,1
333,333,47,4,4,1,0,1,1,4,0,0
1397,1397,22,3,3,2,1,1,3,1,0,1
1069,1069,24,2,3,2,1,1,3,1,0,0
829,829,22,4,4,1,1,0,2,4,0,1
250,250,34,4,4,3,0,1,1,2,0,0
503,503,28,3,3,3,1,1,1,2,0,1
1004,1004,23,2,2,2,1,1,3,3,0,0
1241,1241,23,3,1,1,1,0,3,3,0,1
892,892,22,2,4,1,1,1,3,3,0,1
1377,1377,32,3,3,4,1,1,2,1,0,1
354,354,35,2,3,8,1,1,3,2,0,0
1186,1186,28,4,4,3,0,0,1,4,0,0
443,443,32,4,4,2,0,0,1,4,0,1
235,235,27,2,3,1,1,0,3,4,0,0
635,635,33,3,3,5,1,1,3,4,0,1
321,321,40,1,1,2,1,0,3,4,0,0
749,749,23,4,4,2,1,1,3,4,0,1
569,569,39,4,4,3,0,0,1,4,0,1
705,705,20,2,3,1,1,1,2,1,0,1
1127,1127,44,1,2,2,1,1,3,1,0,0
99,99,27,2,3,5,1,1,2,1,0,0
194,194,18,3,4,0,1,0,3,1,0,0
1217,1217,42,4,4,6,1,1,1,3,0,1
1073,1073,48,3,4,5,1,1,2,3,0,0
1387,1387,25,3,4,2,1,0,2,4,0,1
133,133,28,3,4,1,1,1,3,1,1,0
996,996,25,2,3,4,1,0,3,2,0,1
1343,1343,37,3,3,6,1,1,3,3,0,1
1319,1319,34,1,2,5,1,1,3,4,0,1
1368,1368,28,2,3,3,1,1,2,4,0,1
1311,1311,42,3,3,4,0,1,3,4,0,1
352,352,24,2,2,2,1,1,3,1,1,0
1171,1171,45,2,2,7,1,1,3,1,1,0
74,74,21,3,4,0,1,1,2,3,0,0
1379,1379,37,4,4,1,0,1,1,4,0,1
947,947,35,1,2,4,1,0,4,4,0,1
878,878,27,4,4,2,1,1,3,4,0,1
976,976,29,2,3,3,1,0,3,2,0,1
88,88,27,2,4,4,1,1,1,4,0,0
706,706,33,3,4,4,1,0,2,4,0,1
509,509,35,4,4,5,1,0,1,3,0,1
571,571,21,4,4,1,1,1,2,1,0,1
316,316,28,1,4,2,1,0,2,3,0,0
906,906,28,4,4,4,1,1,2,3,0,1
712,712,31,3,3,3,1,1,2,1,1,1
1130,1130,34,2,4,6,1,0,3,4,0,0
1145,1145,45,4,4,1,1,0,1,4,0,0
277,277,35,2,3,0,1,1,2,4,0,0
662,662,35,4,4,2,1,1,2,4,0,1
1347,1347,25,4,4,3,1,1,3,3,0,1
902,902,27,3,4,2,1,1,1,3,0,1
1040,1040,43,2,3,3,0,1,2,3,0,0
1180,1180,22,3,4,0,1,0,3,4,0,0
493,493,39,4,4,5,1,1,2,4,0,1
1391,1391,33,4,4,3,0,0,2,4,0,1
1107,1107,47,2,2,7,1,1,2,2,0,0
1466,1466,42,2,4,6,1,1,2,4,0,1
581,581,48,4,4,7,0,1,1,4,0,1
1254,1254,37,4,4,7,1,1,1,4,0,1
327,327,35,4,4,2,0,1,3,4,0,0
734,734,33,2,2,7,1,0,2,3,0,1
876,876,29,3,4,4,1,0,1,3,0,1
438,438,28,2,3,2,1,1,3,3,0,1
1245,1245,38,3,4,7,0,1,2,3,0,1
80,80,24,4,4,0,0,1,1,4,0,0
60,60,42,3,3,10,1,1,3,3,0,0
361,361,43,3,3,4,1,1,2,4,0,0
614,614,38,4,4,4,0,1,3,4,0,1
1093,1093,25,3,3,1,1,1,2,2,0,0
142,142,47,4,4,1,1,0,1,3,0,0
1047,1047,28,3,4,1,0,1,2,2,0,0
730,730,30,4,4,2,1,0,2,2,0,1
1403,1403,26,4,4,3,1,1,3,2,0,1
268,268,38,3,3,7,1,1,3,1,0,0
654,654,29,2,4,3,1,0,3,3,0,1
541,541,26,4,4,1,1,0,1,3,0,1
1203,1203,48,1,1,8,1,1,1,1,1,0
1297,1297,35,4,4,5,1,1,1,4,0,1
405,405,23,3,3,2,1,1,3,3,0,0
151,151,21,1,3,4,1,1,3,2,0,0
43,43,40,4,4,2,0,1,1,4,0,0
375,375,23,3,3,2,1,1,2,2,0,0
291,291,36,4,4,4,1,1,1,4,0,0
125,125,31,3,4,2,1,1,1,2,1,0
1023,1023,23,4,4,1,1,0,3,3,0,0
280,280,43,2,3,6,1,0,3,3,0,0
735,735,24,2,2,2,1,1,3,4,0,1
56,56,43,4,4,5,1,0,1,4,0,0
538,538,31,3,4,4,1,1,1,3,0,1
1248,1248,44,3,3,9,1,1,1,1,0,1
424,424,42,2,3,7,1,1,3,4,0,1
1413,1413,22,3,3,3,1,1,3,3,0,1
883,883,28,3,3,4,1,1,3,3,0,1
219,219,31,3,3,2,1,0,2,3,0,0
702,702,29,1,2,5,1,0,1,2,0,1
160,160,23,1,1,3,1,1,2,1,1,0
1276,1276,36,4,4,3,1,1,3,3,0,1
1191,1191,25,4,4,0,0,1,2,4,0,0
414,414,20,2,3,3,1,1,3,4,0,0
402,402,40,2,2,8,1,1,2,2,0,0
168,168,22,4,4,0,1,1,2,4,0,0
243,243,22,4,4,2,1,1,1,3,0,0
322,322,45,3,4,2,0,1,1,4,0,0
807,807,25,2,3,4,1,1,3,3,0,1
1140,1140,22,2,4,1,1,1,3,4,0,0
1041,1041,24,3,3,2,1,0,3,2,0,0
587,587,33,4,3,5,1,1,2,4,0,1
901,901,30,3,4,2,1,1,1,2,0,1
1455,1455,32,2,2,6,1,1,2,3,0,1
708,708,25,4,4,3,1,1,1,4,0,1
781,781,37,4,4,3,1,1,2,4,0,1
911,911,35,2,4,6,1,1,3,4,0,1
798,798,29,3,3,3,1,1,2,1,0,1
1209,1209,46,4,4,6,1,1,1,4,0,0
722,722,40,3,4,3,1,0,1,4,0,1
162,162,44,1,3,0,1,1,2,3,0,0
773,773,27,3,4,4,1,1,3,3,0,1
502,502,37,2,3,7,1,1,3,4,0,1
1384,1384,36,4,4,3,1,1,1,4,0,1
916,916,26,4,4,2,1,0,1,4,0,1
40,40,28,1,1,3,1,1,3,1,0,0
1440,1440,28,4,4,1,0,0,2,4,0,1
957,957,40,2,3,5,1,1,3,3,0,1
1108,1108,30,2,3,1,1,1,2,1,0,0
258,258,44,2,2,1,1,0,3,2,0,0
73,73,29,2,3,1,1,1,1,2,0,0
874,874,24,4,3,3,1,1,3,3,0,1
603,603,26,4,4,2,0,1,1,4,0,1
390,390,33,4,4,0,1,0,3,3,0,0
437,437,33,2,2,3,1,1,2,3,0,1
1469,1469,33,4,4,3,1,1,1,4,0,1
895,895,34,2,2,4,0,1,3,2,0,1
767,767,44,4,4,8,1,1,2,4,0,1
338,338,25,4,4,0,1,0,2,4,0,0
1470,1470,39,3,3,8,1,0,1,4,0,1
542,542,36,3,4,7,1,1,2,2,0,1
558,558,37,4,4,5,1,1,3,4,0,1
665,665,33,3,4,8,1,1,3,4,0,1
1189,1189,37,3,4,0,1,1,3,4,0,0
245,245,34,4,4,2,0,1,1,4,0,0
825,825,24,1,3,4,1,1,3,3,0,1
915,915,47,4,4,5,1,1,1,3,0,1
94,94,47,1,2,3,1,1,1,3,0,0
1117,1117,26,4,4,0,1,1,3,4,0,0
1161,1161,24,4,4,4,1,1,1,4,0,0
1122,1122,30,3,4,4,0,1,2,3,0,0
119,119,26,2,3,2,1,1,3,3,0,0
783,783,38,4,4,6,1,1,2,4,0,1
1427,1427,31,4,4,4,1,0,3,4,0,1
1065,1065,36,1,4,1,1,1,3,3,0,0
758,758,48,3,4,3,1,1,2,3,0,1
506,506,22,4,4,1,1,1,1,2,0,1
755,755,35,4,4,4,1,1,1,4,0,1
9,9,45,1,1,8,1,1,2,2,1,0
1083,1083,35,4,4,5,1,1,1,4,0,0
905,905,22,1,3,2,1,1,3,2,0,1
186,186,20,2,4,0,1,1,3,2,0,0
664,664,29,1,4,3,1,1,4,4,1,1
1077,1077,33,1,1,5,1,1,3,1,1,0
1227,1227,26,2,4,2,1,1,1,4,0,1
1190,1190,24,3,4,2,1,1,2,2,0,0
128,128,43,1,3,2,1,0,2,2,1,0
416,416,46,4,3,5,1,1,1,4,0,1
1287,1287,24,4,4,1,0,1,2,3,0,1
461,461,34,4,4,2,1,1,1,4,0,1
1115,1115,21,4,4,1,1,1,3,4,0,0
797,797,27,4,4,1,0,0,1,3,0,1
1177,1177,41,1,3,3,1,0,2,4,0,0
351,351,40,1,2,6,1,1,3,1,1,0
899,899,43,4,4,5,1,1,1,4,0,1
465,465,38,4,4,2,1,1,1,4,0,1
455,455,32,3,3,2,1,0,3,4,0,1
299,299,26,4,4,1,1,1,1,4,0,0
281,281,21,2,4,2,1,1,3,1,0,0
1293,1293,28,3,4,2,0,1,3,3,0,1
398,398,19,2,2,0,1,1,2,2,0,0
751,751,24,4,4,2,1,1,1,4,0,1
815,815,25,2,4,3,1,1,3,3,0,1
511,511,23,3,3,2,1,0,3,4,0,1
224,224,47,4,4,4,1,1,1,4,0,0
261,261,43,1,3,5,1,0,3,2,0,0
260,260,47,1,2,7,1,0,3,2,0,0
804,804,36,2,2,5,1,1,3,4,0,1
1335,1335,46,3,4,4,1,0,3,4,0,1
409,409,19,3,3,1,1,1,2,4,0,0
45,45,25,1,4,1,1,1,2,1,0,0
